Codigos ;Municipios;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;TD;TDC;TH;THC;TL;TLC
5211008;Itapirapuã ;2.81;93.46349745;6.536502547;57.04638873;42.95361127;43.67934224;19.20422845;4.21377184;3.288797533;2.569373073;27.04448686;36.5539247;5.590299936;1.263560944;56.47734525;0.114869177;1.087;0.324675325;22.18614719;76.47907648;70.41847042;29.58152958;70.34632035;27.81385281;1.83982684;85;15;573.6384144;3 - Alta ;0;2 - Média;0;1 - Baixa
5204003;Cabeceiras ;3.72;85.34743202;14.65256798;55.67516525;44.32483475;26.98772427;15.05193579;5.382436261;3.871576959;4.249291785;44.41926346;28.05563776;4.572358686;0;66.66173424;0.103580941;12.213;0.055401662;0.831024931;88.36565097;53.35180055;46.64819945;69.91689751;27.75623269;2.326869806;80.59;19.41;1.626333594;1 - Baixa;9.916699722;2 - Média;0;1 - Baixa
5220264;São Miguel do Passa Quatro ;3;92.86351472;7.136485281;59.030837;40.969163;35.52548773;22.18376337;5.789804909;4.122089364;3.618628068;28.82315922;54.37849348;5.962203886;1.996273623;37.58317807;0.079850945;53.234;0.403877221;38.52988691;60.09693053;66.55896607;33.44103393;53.95799677;37.31825525;8.723747981;88.5;11.5;538.1826422;3 - Alta ;7.776956877;2 - Média;0;1 - Baixa
5202155;Araguapaz ;3.53;87.42110009;12.57889991;55.30584657;44.69415343;27.00236566;16.59344373;3.43021291;4.460966543;5.64379858;42.86921257;38.64569083;8.30369357;0.314637483;52.24350205;0.205198358;8.499;0.194647202;0.827250608;86.47201946;56.73965937;43.26034063;60.1946472;38.78345499;1.02189781;75.43;24.57;9.005898864;1 - Baixa;18.86733122;3 - Alta;0;1 - Baixa
5213004;Maurilândia ;3.4;95.08073601;4.919263988;56.27913547;43.72086453;20.82215002;18.7879644;10.32631728;6.314451194;5.226726939;38.53651646;45.08863864;2.229902999;0.11149515;52.28007582;0;41.639;0.887345679;0.424382716;94.79166667;88.69598765;11.30401235;83.44907407;15.50925926;1.041666667;78.52;21.48;29.43420909;1 - Baixa;19.59044447;3 - Alta;0;1 - Baixa
5201801;Aragoiânia ;3.4;94.79917611;5.200823893;58.20809249;41.79190751;25.29865125;21.00192678;6.955684008;5.337186898;6.069364161;35.3371869;23.31880448;6.631382316;0.186799502;69.10024907;0.326899128;102.253;1.165871754;4.13354531;91.57392687;63.43402226;36.56597774;48.54266031;49.76152623;1.695813461;82.99;17.01;216.843552;2 - Média;15.11090886;3 - Alta;0;1 - Baixa
5219704;Santa Terezinha de Goiás ;3.6;91.28939828;8.710601719;58.74563745;41.25436255;34.40771915;16.09525765;3.993019914;3.325805789;3.551632109;38.63683022;38.94298793;4.868913858;0.216396171;55.33915938;0.332917187;87.049;0.240891298;0.632339657;84.85395965;72.23727793;27.76272207;49.2622704;49.08160193;1.656127672;80.16;19.84;525.2681056;3 - Alta ;14.87984525;3 - Alta;0;1 - Baixa
5221601;Uruaçu ;3.13;87.35879003;12.63187377;61.68117415;38.31882585;36.74947582;18.6479446;7.185971154;5.375182667;5.216341573;26.82508419;33.72417341;5.681171979;1.408107449;59.18654716;0;8.032;38.74466268;4.696840307;56.08027327;89.51323655;10.48676345;75.91801879;21.16994022;2.912040991;89.9;10.1;608.5738751;4 - Muito Alta ;18.08601978;3 - Alta;0;1 - Baixa
5208806;Goianira ;3.53;91.24100719;8.758992806;60.41217672;39.58782328;21.84806034;20.76373922;7.75862069;6.229795259;5.987338362;37.41244612;49.3616112;2.713820183;0;47.20337625;0.272450451;261.254;0.419687142;8.737123235;88.82106066;87.14231209;12.85768791;56.40976726;43.22777566;0.362457077;84.46;15.54;745.8956515;4 - Muito Alta ;18.87623482;3 - Alta;0;1 - Baixa
5221304;Três Ranchos ;2.98;90.99307159;9.006928406;61.71497585;38.28502415;29.91143317;26.00644122;7.608695652;5.917874396;4.186795492;26.40901771;63.53316779;2.944306492;0.177367861;33.34515786;0;24.249;0.529661017;39.30084746;60.16949153;90.99576271;9.004237288;73.51694915;23.09322034;3.389830508;94.1;5.9;1074.518019;5 - Hiperendêmica ;14.36448216;3 - Alta;0;1 - Baixa
